Id,SalePrice
1461,109874.67374097552
1462,144487.8969071752
1463,168770.0452793456
1464,188798.71649706428
1465,199088.50162679993
1466,175143.85040933624
1467,161798.12843207968
1468,171268.87224940606
1469,205751.92883724353
1470,106729.59137300205
1471,206632.38544723328
1472,111480.13368502911
1473,108388.73115941246
1474,161996.3800106106
1475,127376.93683976032
1476,342737.10826921486
1477,259051.20049900978
1478,306603.9766898646
1479,293031.339076641
1480,442647.5402618584
1481,307034.3224449591
1482,233740.7935191901
1483,180189.5051324273
1484,182160.274827196
1485,186690.30065825707
1486,211125.8555771572
1487,316667.94659630227
1488,276292.34042998793
1489,194561.8263180826
1490,205216.51752490934
1491,195701.63460657984
1492,101398.44646054094
1493,200819.2931089616
1494,283643.82959851
1495,281797.9844690396
1496,223929.45384597298
1497,196391.46281678774
1498,164173.38218840005
1499,164541.26145511374
1500,153152.61114111677
1501,166819.77398746661
1502,154803.29118403269
1503,274860.61835338315
1504,240286.61402903305
1505,223827.68589567384
1506,180757.81732437812
1507,233738.16054586368
1508,186306.44063747217
1509,157074.05291623203
1510,136415.0988903342
1511,135710.25423615272
1512,153172.4146670817
1513,154998.09393698274
1514,149010.25880588617
1515,214182.94784778412
1516,147583.45476540865
1517,159622.41700225862
1518,149253.38714907665
1519,213631.52453666675
1520,119236.29111948755
1521,122750.09305200847
1522,187405.70516111283
1523,107293.63576109865
1524,113359.44727628664
1525,107327.58226656096
1526,109194.27354769416
1527,107499.23086050115
1528,134663.98088255382
1529,129596.20165458327
1530,174639.13794610385
1531,129894.69241789088
1532,96203.2528236299
1533,142993.6115555383
1534,136585.949316133
1535,158563.32304086318
1536,112667.49710155517
1537,86783.87479347913
1538,160738.39378142986
1539,187522.20319528345
1540,123261.14059913628
1541,145444.35108967035
1542,141733.26778527402
1543,197245.8381429573
1544,82670.94756767574
1545,108270.8791088367
1546,145241.61018367246
1547,140795.17947892874
1548,125257.44601388858
1549,109909.42726326811
1550,129823.71975194583
1551,121524.37481118781
1552,130937.80191611497
1553,131421.56866956464
1554,122467.51764931879
1555,164457.64178253934
1556,103401.58780681899
1557,105232.55115926404
1558,100619.44308122041
1559,102086.34772523028
1560,128037.82570696443
1561,129537.19316747028
1562,122967.43740683883
1563,106062.51342413414
1564,177388.94849494938
1565,153424.730197494
1566,230186.3267932048
1567,85431.00611194797
1568,200625.4561153555
1569,124471.93435162358
1570,143702.08298900258
1571,129328.89467146489
1572,130980.98359483172
1573,260004.388909394
1574,134211.60395419906
1575,227439.9224867693
1576,223727.392609152
1577,195169.85459340937
1578,131195.9879538158
1579,136357.30176222906
1580,202153.0123139137
1581,128072.97259359549
1582,116518.005617204
1583,308921.01921578165
1584,232207.6492679944
1585,144920.8121306065
1586,77623.59963472406
1587,105283.00004367574
1588,127233.04689358249
1589,107075.10202504604
1590,144341.0479349058
1591,91942.91151993487
1592,136331.7196365028
1593,117738.68694446744
1594,120957.02112631961
1595,119673.06631181778
1596,213424.87924103322
1597,162157.6334148012
1598,191025.31666151914
1599,193282.49023801202
1600,201447.7727352178
1601,58425.963761647596
1602,116620.97248991171
1603,83608.17001641437
1604,256726.26347685535
1605,260671.63411614174
1606,168648.59743272327
1607,197933.74515479503
1608,228831.0371638386
1609,192313.52561354422
1610,148333.11206558027
1611,150317.54175268862
1612,177013.22382170783
1613,173889.75437297949
1614,121067.52680371434
1615,92099.28915420003
1616,92099.28915420003
1617,100120.6031699933
1618,117440.01103716707
1619,123307.32969557768
1620,173621.79301995772
1621,137916.1990905353
1622,125324.3740016159
1623,280348.6449208527
1624,202258.75815269313
1625,113579.87301020334
1626,172985.22832660112
1627,183073.9920367252
1628,278227.4866845913
1629,193075.39256542997
1630,327542.9511700969
1631,214356.07428269257
1632,238171.78280492945
1633,176967.56806951985
